user_id,user_score
27836,4746.36
1244,3630.09
3424,2772.71
155431,2691.17
1431,2646.51
1182,1866.54
3099,1838.11
643250,1821.16
47763,1802.62
1069,1568.84
27814,1535.21
268336,1417.77
686673,1370.2
18858,1329.73
469,1225.56
17404,1193.84
4562,1159.24
114445,1071.25
375,1068.61
1528,934.536
20234,929.158
3477,922.795
4049,858.415
5234,855.195
3803,842.925
2301,841.639
636156,840.249
4303,767.024
991906,753.124
2732,734.074
4781,701.91
646628,701.346
947,686.845
66013,672.597
248,668.757
37314,643.128
95611,641.24
8874,639.842
20789,635.599
20483,632.895
4383,631.438
47794,619.623
373537,614.285
21351,604.306
21341,588.722
3371,562.29
1269,562.266
4293,555.667
57936,552.589
186778,550.54
5203,548.178
32,531.564
20817,530.067
305336,511.623
94059,509.898
18854,508.746
106984,496.911
68027,488.967
111467,486.935
297710,477.405
20780,475.715
4852,475.554
822,468.406
802056,456.915
17270,429.413
29504,427.571
4787,417.574
3941,412.068
18436,405.712
22551,405.561
107902,405.498
1265,402.031
3227,401.52
902,400.229
3796,397.622
104537,389.375
83626,383.63
3638,383.369
1708,382.454
713699,377.918
162223,377.25
4724,374.864
3471,366.8
640862,366.087
11837,363.097
48360,359.067
11884,354.928
9377,354.866
83377,351.18
2076,350.178
20157,348.784
93567,346.767
678108,342.895
132891,342.396
60392,342.114
85052,340.641
8640,337.722
18054,336.704
11916,335.086
1033692,331.867
445,329.476
1016,320.805
694932,320.59
94924,316.526
3438,315.702
27358,310.895
78369,307.02
2049,305.249
28925,303.928
303637,302.603
20538,301.724
5042,301.099
2689,299.541
125304,298.619
644786,294.08
104236,292.573
3537,289.888
1228,288.557
20415,288.263
660793,288.007
3217,287.121
93764,286.665
112235,285.14
2075,284.098
20209,283.239
374671,281.494
24064,280.979
123220,279.203
8607,278.717
78273,278.409
96069,278.244
104126,274.463
17920,272.574
642547,272.267
22457,271.223
1078,270.52
2166,268.13
107899,264.229
78345,264.214
18147,262.703
685071,257.657
1171,253.948
70141,253.314
21076,253.257
153702,250.964
3903,248.035
88480,247.061
2232,246.749
122147,244.409
107901,244.156
21224,243.873
9021,242.327
662527,240.887
7999,240.473
705,237.518
47804,235.063
17391,233.489
7005,233.452
672370,231.487
21252,230.856
4834,227.624
155835,227.019
28535,224.795
38371,224.734
1841,224.523
2721,219.373
5767,219.206
658706,218.131
1101,217.222
112194,214.826
741573,212.701
5472,212.34
451731,211.789
21473,211.176
91346,210.862
20518,210.726
21957,210.34
241905,210.27
63878,210.087
662331,209.362
8497,209.248
35429,208.657
21254,208.382
6576,208.367
94401,208.242
93926,207.273
639,205.779
71131,205.646
8141,203.227
11778,202.438
22088,200.839
9147,200.664
907684,200.523
2693,198.794
676110,198.794
2701,197.983
62760,197.944
78525,196.883
169,196.601
1014857,195.797
638603,195.697
3080,195.398
3935,194.774
18643,193.946
20714,193.751
888,193.636
105789,192.873
727861,191.883
101623,190.889
147826,190.601
87627,188.444
2085,188.425
279498,188.358
30087,187.704
122763,184.623
5462,183.81
79309,182.834
172958,182.133
68175,181.612
360505,181.315
20631,181.267
