seen, seed_size, seed_score
3706, 100, 21054
8322, 200, 37670.5
12487, 300, 50594.8
17148, 400, 63820.8
20900, 500, 75463.8
24789, 600, 87000.7
28990, 700, 97424.8
33740, 800, 107604
37763, 900, 116767
41705, 1000, 125856
45466, 1100, 141619
50191, 1200, 150626
54225, 1300, 158220
59023, 1400, 168584
64335, 1500, 177370
69432, 1600, 185182
74197, 1700, 191977
78425, 1800, 199627
82526, 1900, 206128
87215, 2000, 212855
92295, 2100, 220060
96941, 2200, 228298
100770, 2300, 234924
105637, 2400, 241522
109792, 2500, 248409
114475, 2600, 255562
119997, 2700, 261563
124758, 2800, 267984
129089, 2900, 274465
133546, 3000, 280106
137924, 3100, 286348
141712, 3200, 292544
145498, 3300, 297971
149524, 3400, 304584
154897, 3500, 310104
159529, 3600, 315690
163707, 3700, 321075
168323, 3800, 326022
172776, 3900, 331732
177043, 4000, 336363
182718, 4100, 341323
186677, 4200, 345848
191543, 4300, 350804
197146, 4400, 355753
201274, 4500, 360014
205684, 4600, 365598
209647, 4700, 370580
215319, 4800, 374936
220224, 4900, 379547
224555, 5000, 383933
229158, 5100, 388108
233669, 5200, 392644
238028, 5300, 397012
243095, 5400, 401373
247730, 5500, 405570
251968, 5600, 409876
257024, 5700, 413765
262810, 5800, 418777
267912, 5900, 423494
272830, 6000, 427633
277435, 6100, 431576
282508, 6200, 435295
287900, 6300, 440013
291690, 6400, 443964
297043, 6500, 447582
302235, 6600, 451515
307611, 6700, 455551
312463, 6800, 459384
319004, 6900, 463048
323060, 7000, 466873
328931, 7100, 470345
333658, 7200, 474903
338358, 7300, 478215
343310, 7400, 481772
348812, 7500, 485467
354847, 7600, 488975
359235, 7700, 493460
363832, 7800, 497402
369564, 7900, 500871
374663, 8000, 504706
379820, 8100, 508308
385271, 8200, 511887
391021, 8300, 515676
397239, 8400, 518857
399796, 8442, 520360
