seen, seed_size, seed_score
5110, 100, 16492.5
9065, 200, 30406.2
12812, 300, 44682.1
17080, 400, 57481.5
21170, 500, 69860.2
25152, 600, 80964
29067, 700, 91280
33898, 800, 100914
38142, 900, 113862
42178, 1000, 124394
46367, 1100, 135365
50954, 1200, 145131
55437, 1300, 154439
59423, 1400, 162827
63449, 1500, 171928
67986, 1600, 179959
73037, 1700, 188714
77021, 1800, 195937
81357, 1900, 202904
86439, 2000, 210544
91333, 2100, 217517
95652, 2200, 224549
100393, 2300, 231074
105334, 2400, 238980
109851, 2500, 245843
115182, 2600, 252108
119480, 2700, 259366
124061, 2800, 265271
128102, 2900, 271504
133180, 3000, 277367
137877, 3100, 283752
142285, 3200, 290076
147587, 3300, 295760
152076, 3400, 301500
155999, 3500, 307369
160263, 3600, 312345
165947, 3700, 317786
171434, 3800, 323347
176371, 3900, 328671
180980, 4000, 333931
185673, 4100, 339331
190529, 4200, 344617
195628, 4300, 349596
200437, 4400, 354357
204870, 4500, 359629
209654, 4600, 364363
214923, 4700, 370404
219403, 4800, 374893
224206, 4900, 379749
229446, 5000, 383936
233735, 5100, 388184
239425, 5200, 393038
244374, 5300, 397148
249414, 5400, 402113
254889, 5500, 406294
259371, 5600, 410491
263754, 5700, 415560
268375, 5800, 420418
273599, 5900, 424617
278961, 6000, 428555
283908, 6100, 433307
289278, 6200, 438102
295254, 6300, 442502
300294, 6400, 446655
305480, 6500, 450516
310596, 6600, 454479
315167, 6700, 458256
319954, 6800, 462051
324409, 6900, 465515
329171, 7000, 469794
334108, 7100, 473265
339289, 7200, 476868
344123, 7300, 480034
349791, 7400, 483120
355168, 7500, 486428
361435, 7600, 489754
366351, 7700, 493118
371912, 7800, 496534
377130, 7900, 500018
382502, 8000, 503472
387154, 8100, 509813
392526, 8200, 513190
396744, 8300, 516177
399796, 8357, 518745
