seen, seed_size, seed_score
2396, 100, 5165.8
4333, 200, 10782.7
6554, 300, 26422.7
8884, 400, 30322
11093, 500, 34834.5
13147, 600, 41837.7
15047, 700, 45154.9
17257, 800, 48272.8
19392, 900, 51153.4
21227, 1000, 54726.3
23576, 1100, 58355.3
25475, 1200, 61776.9
27375, 1300, 64989.2
29530, 1400, 68597.9
31397, 1500, 71612.2
33543, 1600, 74955.8
35585, 1700, 77345.6
37442, 1800, 80558.1
39463, 1900, 84807.7
40958, 2000, 87942.3
43411, 2100, 90923.9
45258, 2200, 94118.5
46911, 2300, 98328.2
48913, 2400, 100627
50827, 2500, 103653
52876, 2600, 106090
55157, 2700, 108681
57297, 2800, 112041
59564, 2900, 115292
61473, 3000, 117833
63566, 3100, 119740
65588, 3200, 122054
67598, 3300, 124738
69825, 3400, 126805
72125, 3500, 128593
74125, 3600, 130271
76212, 3700, 132471
78207, 3800, 134525
80265, 3900, 136667
82156, 4000, 142104
84476, 4100, 144624
86568, 4200, 146540
88306, 4300, 149015
90205, 4400, 150935
92165, 4500, 152882
94002, 4600, 156038
96149, 4700, 158230
97971, 4800, 160297
100120, 4900, 162074
102210, 5000, 164743
104033, 5100, 166692
106477, 5200, 168674
108187, 5300, 170626
110310, 5400, 171996
112099, 5500, 174349
113489, 5576, 175502
