seen, seed_size, seed_score
5083, 100, 14229.6
9790, 200, 22496.7
14948, 300, 30774.7
19121, 400, 37395.2
24276, 500, 43227.1
29168, 600, 51119.7
34186, 700, 57594
40502, 800, 63541.8
45983, 900, 69300.1
52059, 1000, 75675.8
57128, 1100, 80259
62494, 1200, 85830.1
68032, 1300, 92454.3
73609, 1400, 98201.1
79534, 1500, 110866
85099, 1600, 118744
90621, 1700, 123079
96616, 1800, 131026
102481, 1900, 138069
107995, 2000, 142568
113545, 2100, 146466
118252, 2200, 153629
122984, 2300, 156520
128281, 2400, 160507
134238, 2500, 167718
140078, 2600, 170759
145690, 2700, 175004
151295, 2800, 178650
156578, 2900, 182462
162280, 3000, 186114
168031, 3100, 190070
173219, 3200, 194522
178658, 3300, 200741
183691, 3400, 203563
189768, 3500, 208260
195802, 3600, 211282
201939, 3700, 214046
207467, 3800, 218212
213369, 3900, 221024
219352, 4000, 224611
225946, 4100, 229470
226978, 4117, 230016
