seen, seed_size, seed_score
9395, 100, 15530.2
20486, 200, 30054
28424, 300, 43252.6
37998, 400, 54231.1
47088, 500, 67561
58568, 600, 81803.9
66613, 700, 93424.2
77360, 800, 104004
88731, 900, 114388
99479, 1000, 122949
110931, 1100, 131642
121211, 1200, 141079
130887, 1300, 150546
141589, 1400, 160115
151961, 1500, 167831
162589, 1600, 178273
175017, 1700, 186054
185376, 1800, 194059
194889, 1900, 201092
204515, 2000, 208465
214711, 2100, 216109
225571, 2200, 222848
235322, 2300, 229825
245398, 2400, 237088
256112, 2500, 244955
267410, 2600, 251310
277832, 2700, 259001
288072, 2800, 264796
298699, 2900, 271225
309621, 3000, 277251
319556, 3100, 283197
330071, 3200, 288962
340728, 3300, 294309
350902, 3400, 299159
360269, 3500, 304716
370790, 3600, 311056
381719, 3700, 316034
391293, 3800, 321140
399796, 3883, 326065
