youtube,live_inoutr/YO_k8000_e0,1_inoutr_v1_s113489_ss6085.txt,Sat Nov 24 18:23:16 2018,Sat Nov 24 18:23:38 2018,1148.72,6085,539699
youtube,live_inoutr/YO_k9000_e0,1_inoutr_v1_s113489_ss6629.txt,Sat Nov 24 18:29:58 2018,Sat Nov 24 18:30:21 2018,1171.58,6629,546258
youtube,live_inoutr/YO_k10000_e0,1_inoutr_v1_s113489_ss7134.txt,Sat Nov 24 18:31:37 2018,Sat Nov 24 18:31:59 2018,1175.94,7134,551889
youtube,inoutr/YO_k1000_r0,01_ap0,8_inoutr_s113489_ss1000.txt,Sat Nov 24 18:44:31 2018,Sat Nov 24 18:44:48 2018,841.828,1000,369649
youtube,inoutr/YO_k2000_r0,025_ap0,8_inoutr_s113489_ss2000.txt,Sat Nov 24 18:46:36 2018,Sat Nov 24 18:46:54 2018,960.684,2000,423651
youtube,inoutr/YO_k3000_r0,06_ap0,8_inoutr_s113489_ss3000.txt,Sat Nov 24 18:47:39 2018,Sat Nov 24 18:47:59 2018,1048.64,3000,454095
youtube,inoutr/YO_k4000_r0,09_ap0,8_inoutr_s113489_ss4000.txt,Sat Nov 24 18:49:06 2018,Sat Nov 24 18:49:27 2018,1079.22,4000,475681
youtube,inoutr/YO_k5000_r0.2_ap0,8_inoutr_s113489_ss5000.txt,Sat Nov 24 18:50:10 2018,Sat Nov 24 18:50:10 2018,2.27959,0,0
youtube,inoutr/YO_k5000_r0.2_ap0,8_inoutr_s113489_ss5000.txt,Sat Nov 24 18:55:05 2018,Sat Nov 24 18:55:05 2018,2.27576,0,0
youtube,inoutr/YO_k5000_r0,2_ap0,8_inoutr_s113489_ss5000.txt,Sat Nov 24 18:58:27 2018,Sat Nov 24 18:58:48 2018,1107.25,5000,490618
youtube,inoutr/YO_k6000_r0,2_ap0,8_inoutr_s113489_ss6000.txt,Sat Nov 24 18:59:39 2018,Sat Nov 24 19:00:01 2018,1135.29,6000,506414
youtube,inoutr/YO_k7000_r0,3_ap0,8_inoutr_s113489_ss7000.txt,Sat Nov 24 19:00:50 2018,Sat Nov 24 19:01:12 2018,1160.96,7000,517933
youtube,inoutr/YO_k8000_r0,3_ap0,8_inoutr_s113489_ss8000.txt,Sat Nov 24 19:01:40 2018,Sat Nov 24 19:02:02 2018,1175.83,8000,529279
