seen, seed_size, seed_score
1059, 100, 9408.42
2127, 200, 17400
3180, 300, 24850.3
4330, 400, 31738
5432, 500, 36700.7
6487, 600, 51650.4
7619, 700, 63204.7
8465, 800, 70801.7
9553, 900, 75571
10477, 1000, 84596.1
11359, 1100, 92754.2
12483, 1200, 98895.3
13622, 1300, 106249
14448, 1400, 110316
15323, 1500, 115291
16423, 1600, 120059
17425, 1700, 124260
18348, 1800, 127756
19320, 1900, 131305
20280, 2000, 142218
21623, 2100, 146137
22664, 2200, 151184
23658, 2300, 155482
24701, 2400, 158457
25799, 2500, 164879
26861, 2600, 169288
27897, 2700, 173849
29096, 2800, 177871
30232, 2900, 182786
31268, 3000, 187205
32413, 3100, 190567
33493, 3200, 194356
34489, 3300, 197738
35555, 3400, 200434
36806, 3500, 203032
37922, 3600, 205888
39012, 3700, 210766
39975, 3800, 215585
41130, 3900, 219281
42196, 4000, 221842
43235, 4100, 225083
44280, 4200, 232317
45514, 4300, 235673
46449, 4400, 241162
47664, 4500, 244366
48877, 4600, 252638
50057, 4700, 255548
51203, 4800, 259330
52333, 4900, 263381
53690, 5000, 265486
55166, 5100, 267943
56338, 5200, 271280
57688, 5300, 273733
58754, 5400, 275930
60059, 5500, 279067
61497, 5600, 282614
62690, 5700, 284263
63752, 5800, 286441
65021, 5900, 288914
66325, 6000, 290515
67367, 6100, 292283
68516, 6200, 295741
69705, 6300, 298380
70748, 6400, 300076
72006, 6500, 302964
73209, 6600, 311805
74537, 6700, 315266
75457, 6800, 318634
76766, 6900, 320265
78199, 7000, 322937
79546, 7100, 324547
80744, 7200, 326692
82035, 7300, 328656
83199, 7400, 331287
84481, 7500, 334106
85918, 7600, 336176
87422, 7700, 337812
88905, 7800, 340229
90240, 7900, 343179
91543, 8000, 344710
92866, 8100, 348006
93999, 8200, 349932
95107, 8300, 351062
96398, 8400, 352707
97693, 8500, 353933
99137, 8600, 356010
100421, 8700, 357960
101589, 8800, 360202
103063, 8900, 362822
104351, 9000, 365072
105564, 9100, 367276
106854, 9200, 369112
108234, 9300, 370450
109463, 9400, 373401
110797, 9500, 375926
112420, 9600, 377737
113489, 9678, 380579
