seen, seed_size, seed_score
1066, 100, 9290.82
2154, 200, 22149
3046, 300, 31645.6
4013, 400, 37501.4
5220, 500, 45395.7
6131, 600, 51726.8
7100, 700, 55808.1
8054, 800, 61473.3
9199, 900, 68928.7
10214, 1000, 76213.7
11336, 1100, 90174.4
12457, 1200, 96166.9
13409, 1300, 100544
14395, 1400, 106326
15426, 1500, 110557
16639, 1600, 117458
17802, 1700, 121689
18833, 1800, 126809
19970, 1900, 131951
21246, 2000, 137653
22362, 2100, 143073
23403, 2200, 147284
24352, 2300, 150929
25435, 2400, 154716
26450, 2500, 159302
27475, 2600, 162225
28754, 2700, 166000
29761, 2800, 171515
30798, 2900, 174762
31669, 3000, 177832
32582, 3100, 182879
33662, 3200, 185921
34801, 3300, 189763
35896, 3400, 192581
37063, 3500, 196226
38209, 3600, 209892
39525, 3700, 212472
40549, 3800, 217512
41758, 3900, 220670
42732, 4000, 225177
44019, 4100, 230354
45222, 4200, 233923
46589, 4300, 236832
47853, 4400, 239309
48983, 4500, 243422
49838, 4600, 245952
50944, 4700, 248506
52196, 4800, 250413
53423, 4900, 252998
54737, 5000, 255564
55874, 5100, 258329
57063, 5200, 260863
58280, 5300, 263463
59403, 5400, 273987
60451, 5500, 275934
61657, 5600, 278072
62880, 5700, 281171
64089, 5800, 283154
65343, 5900, 287001
66557, 6000, 290415
67897, 6100, 292334
69099, 6200, 295330
70432, 6300, 297383
72011, 6400, 299251
73225, 6500, 302389
74312, 6600, 304878
75682, 6700, 307048
76860, 6800, 308773
78176, 6900, 311989
79399, 7000, 313727
80618, 7100, 319736
82101, 7200, 321442
83171, 7300, 323488
84238, 7400, 325802
85549, 7500, 327640
86817, 7600, 329594
88020, 7700, 330981
89210, 7800, 332863
90508, 7900, 335513
91902, 8000, 338073
93578, 8100, 339441
95130, 8200, 341179
96675, 8300, 343145
97849, 8400, 344758
99099, 8500, 346912
100393, 8600, 348930
101673, 8700, 351558
103094, 8800, 353502
104398, 8900, 355514
105750, 9000, 358219
107168, 9100, 360628
108471, 9200, 362764
109882, 9300, 368802
111318, 9400, 371067
112803, 9500, 373103
114370, 9600, 374656
115894, 9700, 376396
117398, 9800, 378639
118651, 9900, 382215
120055, 10000, 383752
226978, 10000, 383735
