seen, seed_size, seed_score
130, 100, 725.066
261, 200, 1282.3
402, 300, 1735.83
541, 400, 2136.62
686, 500, 2533.95
833, 600, 2877.29
980, 700, 3235.23
1142, 800, 3532.97
1300, 900, 3816.73
1460, 1000, 4090.9
1617, 1100, 4363.57
1801, 1200, 4616.07
1956, 1300, 4883.15
2129, 1400, 5108.65
2311, 1500, 5323.12
2481, 1600, 5540.19
2649, 1700, 5718.86
2828, 1800, 5923.12
2995, 1900, 6143.7
3183, 2000, 6324.06
3373, 2100, 6503.07
3552, 2200, 6655.16
3737, 2300, 6826.48
3930, 2400, 7003
4116, 2500, 7167.15
4302, 2600, 7315.02
4509, 2700, 7456.45
4719, 2800, 7605.44
4935, 2900, 7738.07
5140, 3000, 7878.22
5348, 3100, 8014.8
5550, 3200, 8154.16
5756, 3300, 8281.41
5970, 3400, 8426.44
6179, 3500, 8553.96
6397, 3600, 8689.44
6627, 3700, 8821.05
6870, 3800, 8944.25
7110, 3900, 9064.87
7357, 4000, 9190.74
7600, 4000, 9192.22
