seen, seed_size, seed_score
130, 100, 726.782
261, 200, 1280.16
402, 300, 1736.58
541, 400, 2137.94
686, 500, 2533.41
833, 600, 2878.18
980, 700, 3233.35
1142, 800, 3532.44
1300, 900, 3817.8
1460, 1000, 4090.32
1617, 1100, 4364.29
1801, 1200, 4617.6
1956, 1300, 4883.59
2129, 1400, 5108.5
2311, 1500, 5324.43
2481, 1600, 5540.09
2649, 1700, 5717.62
2828, 1800, 5922.93
2995, 1900, 6144.5
3183, 2000, 6323.86
3373, 2100, 6502.97
3552, 2200, 6654.29
3737, 2300, 6826.14
3930, 2400, 7000.68
4116, 2500, 7167.55
4302, 2600, 7315.79
4509, 2700, 7456.82
4719, 2800, 7605.48
4935, 2900, 7737.59
5140, 3000, 7877.67
7600, 3000, 7876.84
