livejournal,LJ_k50_e0,1_ss.txt,Thu Nov 22 19:24:53 2018,Thu Nov 22 19:25:17 2018,1199.57,50,102621
livejournal,LJ_k100_e0,1_ss.txt,Thu Nov 22 19:25:49 2018,Thu Nov 22 19:26:21 2018,1578.13,100,141812
livejournal,LJ_k150_e0,1_ss.txt,Thu Nov 22 19:26:52 2018,Thu Nov 22 19:27:28 2018,1835.58,150,165662
livejournal,LJ_k200_e0,1_ss.txt,Thu Nov 22 19:27:57 2018,Thu Nov 22 19:28:38 2018,2053.16,200,185065
livejournal,LJ_k250_e0,1_ss.txt,Thu Nov 22 19:29:08 2018,Thu Nov 22 19:29:53 2018,2220.45,250,201463
livejournal,LJ_k300_e0,1_ss.txt,Thu Nov 22 19:30:41 2018,Thu Nov 22 19:31:28 2018,2365.46,300,216455
livejournal,live_inoutr/LJ_k50_e0,1_inoutr_v1_s399796_ss50.txt,Thu Nov 22 19:34:13 2018,Thu Nov 22 19:34:36 2018,1151.69,50,102662
livejournal,inoutr/LJ_k50_r0,00025_ap0,8_inoutr_s399796_ss50.txt,Thu Nov 22 19:35:37 2018,Thu Nov 22 19:36:00 2018,1130.88,50,101766
livejournal,inoutr/LJ_k100_r0,00025_ap0,8_inoutr_s399796_ss100.txt,Thu Nov 22 19:37:31 2018,Thu Nov 22 19:38:02 2018,1552.14,100,139576
livejournal,inoutr/LJ_k150_r0,0005_ap0,8_inoutr_s399796_ss150.txt,Thu Nov 22 19:38:46 2018,Thu Nov 22 19:39:22 2018,1814.8,150,162143
livejournal,inoutr/LJ_k200_r0,001_ap0,8_inoutr_s399796_ss200.txt,Thu Nov 22 19:40:06 2018,Thu Nov 22 19:40:46 2018,2018.77,200,180844
livejournal,inoutr/LJ_k250_r0,001_ap0,8_inoutr_s399796_ss250.txt,Thu Nov 22 19:41:26 2018,Thu Nov 22 19:42:10 2018,2179.03,250,196669
livejournal,inoutr/LJ_k300_r0,0025_ap0,8_inoutr_s399796_ss300.txt,Thu Nov 22 19:42:41 2018,Thu Nov 22 19:43:28 2018,2348.38,300,208399
livejournal,../../data/livejournal/rtim/live/inoutr/v1/LJ_k10000_r1_ap0,8_inoutr_v1_s399796_ss10000.txt,Thu Jan 31 14:50:11 2019,Thu Jan 31 14:52:24 2019,5688,10000,602922
livejournal,../../data/livejournal/rtim/live/inoutr/v1/LJ_k20000_r1_ap0,8_inoutr_v1_s399796_ss20000.txt,Thu Jan 31 15:46:31 2019,Thu Jan 31 15:49:28 2019,8105.74,20000,809612
livejournal,../../data/livejournal/rtim/live/urr/v1/LJ_k10000_r2_ap0,5_urr_v1_s399796_ss7533.txt,Tue Feb 12 11:05:39 2019,Tue Feb 12 11:07:05 2019,3174.74,7533,416515
livejournal,../../data/livejournal/rtim/live/inoutr/v1/LJ_k10000_r2_ap0,5_inoutr_v1_s399796_ss10000.txt,Tue Feb 12 11:08:51 2019,Tue Feb 12 11:11:03 2019,11562,10000,563571
livejournal,../../data/livejournal/rtim/live/loginoutr/v1/LJ_k10000_r2_ap0,5_loginoutr_v1_s399796_ss10000.txt,Tue Feb 12 11:14:48 2019,Tue Feb 12 11:16:42 2019,24640.3,10000,503447
livejournal,../../data/livejournal/rtim/live/urr/v1/LJ_k10000_r1_ap0,5_urr_v1_s399796_ss3789.txt,Tue Feb 12 11:19:03 2019,Tue Feb 12 11:20:14 2019,31706.6,3789,315145
livejournal,../../data/livejournal/rtim/live/inoutr/v1/LJ_k10000_r1_ap0,5_inoutr_v1_s399796_ss10000.txt,Tue Feb 12 11:21:30 2019,Tue Feb 12 11:23:56 2019,38825.2,10000,612329
livejournal,../../data/livejournal/rtim/live/loginoutr/v1/LJ_k10000_r1_ap0,5_loginoutr_v1_s399796_ss8442.txt,Tue Feb 12 11:24:32 2019,Tue Feb 12 11:26:31 2019,44701.6,8442,520384
livejournal,../../data/livejournal/rtim/live/urr/v1/LJ_k10000_r0,5_ap0,5_urr_v1_s399796_ss1973.txt,Tue Feb 12 11:29:26 2019,Tue Feb 12 11:30:21 2019,47411.1,1973,239859
livejournal,../../data/livejournal/rtim/live/inoutr/v1/LJ_k10000_r0,5_ap0,5_inoutr_v1_s399796_ss10000.txt,Tue Feb 12 11:35:17 2019,Tue Feb 12 11:37:50 2019,55102,10000,657676
livejournal,../../data/livejournal/rtim/live/loginoutr/v1/LJ_k10000_r0,5_ap0,5_loginoutr_v1_s399796_ss4448.txt,Tue Feb 12 11:41:02 2019,Tue Feb 12 11:42:37 2019,59795.5,4448,413238
livejournal,../../data/livejournal/rtim/live/urr/v1/LJ_k10000_r1_ap0,5_urr_v1_s399796_ss3789.txt,Tue Feb 12 22:46:49 2019,Tue Feb 12 22:48:00 2019,90664.7,3789,315198
livejournal,../../data/livejournal/rtim/live/loginoutr/v1/LJ_k10000_r1_ap0,5_loginoutr_v1_s399796_ss8442.txt,Wed Feb 13 00:52:59 2019,Wed Feb 13 00:54:59 2019,369569,8442,520360
livejournal,../../data/livejournal/rtim/live/urr/v1/LJ_k10000_r2_ap0,5_urr_v1_s399796_ss7533.txt,Wed Feb 13 11:15:53 2019,Wed Feb 13 11:17:27 2019,592400,7533,416619
livejournal,../../data/livejournal/rtim/live/loginoutr/v1/LJ_k10000_r2_ap0,5_loginoutr_v1_s399796_ss10000.txt,Wed Feb 13 13:57:05 2019,Wed Feb 13 13:59:02 2019,954103,10000,503548
