seen, seed_size, seed_score
3354, 100, 16055.5
6744, 200, 39591.9
9690, 300, 58381.6
12840, 400, 79717.1
15464, 500, 91668.8
18386, 600, 100978
22056, 700, 119241
25201, 800, 128004
28055, 900, 141349
31003, 1000, 152087
34310, 1100, 162348
37922, 1200, 169341
40706, 1300, 181559
44097, 1400, 194380
47204, 1500, 204632
50672, 1600, 218222
54529, 1700, 227953
58759, 1800, 235212
63132, 1900, 243452
66921, 2000, 248839
71051, 2100, 256939
74972, 2200, 274233
78352, 2300, 280175
82304, 2400, 285312
86509, 2500, 292670
90911, 2600, 299214
95036, 2700, 305351
99949, 2800, 310773
104067, 2900, 317637
108625, 3000, 322944
112621, 3100, 330236
113489, 3121, 332632
