seen, seed_size, seed_score
2782, 100, 23145.8
6450, 200, 38978.3
9945, 300, 54087.8
13532, 400, 77204.8
16321, 500, 90501
19387, 600, 102930
22873, 700, 116098
26186, 800, 127081
29686, 900, 137527
32675, 1000, 148161
36113, 1100, 156092
39928, 1200, 177530
43383, 1300, 190693
47377, 1400, 200357
50969, 1500, 209056
54804, 1600, 214981
58438, 1700, 221798
62040, 1800, 236247
66139, 1900, 246144
71081, 2000, 253098
75578, 2100, 260799
79291, 2200, 266760
83519, 2300, 276820
87292, 2400, 282322
91270, 2500, 288219
97347, 2600, 294314
101774, 2700, 301172
105662, 2800, 307119
109642, 2900, 318384
115137, 3000, 324714
118783, 3100, 331732
123150, 3200, 338408
127828, 3300, 343798
132745, 3400, 350026
137684, 3500, 356533
143063, 3600, 361471
148785, 3700, 365851
152977, 3800, 374375
158908, 3900, 379295
164443, 4000, 384892
170342, 4100, 388733
175276, 4200, 395060
181651, 4300, 401002
187390, 4400, 404513
193408, 4500, 410429
198845, 4600, 414962
205028, 4700, 420932
210748, 4800, 425863
217031, 4900, 431019
223226, 5000, 434889
226978, 5044, 436496
