seen, seed_size, seed_score
462, 100, 97684
945, 200, 154487
1479, 300, 193796
2033, 400, 218792
2609, 500, 241623
3240, 600, 264515
3883, 700, 284816
4611, 800, 298138
5277, 900, 310574
6187, 1000, 322631
7052, 1100, 337279
7944, 1200, 347945
8853, 1300, 358587
9982, 1400, 367938
10999, 1500, 377008
12083, 1600, 384354
13405, 1700, 392151
14638, 1800, 399148
16187, 1900, 406933
17715, 2000, 413445
19161, 2100, 419300
21014, 2200, 425460
22658, 2300, 430764
24469, 2400, 435983
26232, 2500, 441321
28150, 2600, 446495
30096, 2700, 451966
32540, 2800, 456751
35028, 2900, 461245
37668, 3000, 466188
41035, 3100, 469963
44066, 3200, 474026
47155, 3300, 477946
51433, 3400, 481905
57102, 3500, 485846
61471, 3600, 489445
66877, 3700, 493125
73161, 3800, 496465
80684, 3900, 500201
87758, 4000, 503675
96661, 4100, 506679
107781, 4200, 509634
113489, 4256, 511261
