seen, seed_size, seed_score
409, 100, 82745.5
816, 200, 144967
1315, 300, 181880
1779, 400, 209211
2323, 500, 232549
2782, 600, 251642
3409, 700, 274361
3966, 800, 289927
4552, 900, 300329
5127, 1000, 312433
5885, 1100, 321253
6598, 1200, 332520
7307, 1300, 344978
8083, 1400, 356039
8883, 1500, 363695
9779, 1600, 371365
10699, 1700, 379461
11529, 1800, 386885
12537, 1900, 392671
13572, 2000, 399469
14616, 2100, 405539
15764, 2200, 411671
17007, 2300, 417722
18177, 2400, 423598
19286, 2500, 427890
20811, 2600, 433307
22078, 2700, 438345
23630, 2800, 442283
25170, 2900, 447045
