seen, seed_size, seed_score
121, 100, 769.154
248, 200, 1262.76
396, 300, 1745.76
537, 400, 2162.28
662, 500, 2563.58
807, 600, 2906.79
970, 700, 3217.36
1131, 800, 3531.88
1264, 900, 3815.7
1407, 1000, 4098.62
1565, 1100, 4372.26
1722, 1200, 4617.03
1889, 1300, 4871.59
2034, 1400, 5102.22
2206, 1500, 5300.13
2374, 1600, 5523.57
2554, 1700, 5725.85
2721, 1800, 5923.13
2896, 1900, 6123.52
3079, 2000, 6309.46
3254, 2100, 6483.44
3454, 2200, 6661.13
3653, 2300, 6829.55
3869, 2400, 6993.67
4052, 2500, 7165.37
4232, 2600, 7335.63
4466, 2700, 7480.94
4676, 2800, 7653.88
4899, 2900, 7797.34
5089, 3000, 7936.83
7600, 3000, 7936.38
