seen, seed_size, seed_score
441, 100, 97688.4
902, 200, 152135
1367, 300, 186346
1926, 400, 212757
2502, 500, 237960
3044, 600, 257249
3648, 700, 279615
4406, 800, 292729
5039, 900, 304967
5807, 1000, 315167
6543, 1100, 326234
7196, 1200, 338295
7928, 1300, 346482
8681, 1400, 355797
9526, 1500, 363160
10324, 1600, 369842
10999, 1700, 376554
11924, 1800, 382843
12888, 1900, 387501
13709, 2000, 393144
14584, 2100, 398182
15585, 2200, 403502
16548, 2300, 408281
17607, 2400, 412610
18695, 2500, 417436
19742, 2600, 421831
21032, 2700, 425835
22115, 2800, 429879
23258, 2900, 432868
24348, 3000, 436053
25432, 3100, 439145
26588, 3200, 442704
27769, 3300, 446320
28918, 3400, 450040
30097, 3500, 452865
31285, 3600, 455541
32543, 3700, 458184
33908, 3800, 460864
35319, 3900, 463675
36878, 4000, 466399
38278, 4100, 469292
39865, 4200, 471282
41281, 4300, 473062
42794, 4400, 475672
44138, 4500, 477702
45758, 4600, 479740
47119, 4700, 481706
48799, 4800, 483425
50307, 4900, 485243
51667, 5000, 487189
53090, 5100, 488885
54607, 5200, 490328
56309, 5300, 491856
57806, 5400, 493319
59703, 5500, 495005
61276, 5600, 496798
63154, 5700, 498727
64817, 5800, 500505
66651, 5900, 502046
68656, 6000, 503430
70402, 6100, 504923
72180, 6200, 506553
74430, 6300, 507635
76297, 6400, 509556
78243, 6500, 510975
80645, 6600, 512346
82356, 6700, 513787
84495, 6800, 515115
86873, 6900, 516562
88966, 7000, 517951
90951, 7100, 519281
93035, 7200, 520271
95469, 7300, 521546
97568, 7400, 522556
99665, 7500, 523759
101697, 7600, 524839
103876, 7700, 525912
106057, 7800, 527031
108460, 7900, 528032
110738, 8000, 529287
112382, 8100, 530323
113489, 8144, 530770
