seen, seed_size, seed_score
580, 100, 117524
1082, 200, 168128
1653, 300, 201667
2372, 400, 229092
3000, 500, 251601
3742, 600, 276707
4612, 700, 291999
5352, 800, 305058
6379, 900, 317704
7233, 1000, 331356
8112, 1100, 343170
9152, 1200, 351803
10079, 1300, 360397
10947, 1400, 367653
12188, 1500, 374937
13401, 1600, 381837
14476, 1700, 387421
15753, 1800, 393808
17182, 1900, 399787
18597, 2000, 405894
19866, 2100, 410956
21266, 2200, 415477
22762, 2300, 419383
24112, 2400, 423275
25566, 2500, 426751
26918, 2600, 431167
28484, 2700, 435242
30216, 2800, 439054
31697, 2900, 442164
33725, 3000, 445453
35471, 3100, 448757
37347, 3200, 451942
39079, 3300, 454652
41014, 3400, 456762
42826, 3500, 459935
44459, 3600, 462307
46216, 3700, 464805
48263, 3800, 467043
50072, 3900, 469058
51899, 4000, 471296
53592, 4100, 473419
55708, 4200, 475294
57626, 4300, 476916
59796, 4400, 478999
61728, 4500, 481106
63877, 4600, 483279
66225, 4700, 485390
68814, 4800, 487211
71179, 4900, 489125
73660, 5000, 490612
113489, 5000, 490629
