seen, seed_size, seed_score
925, 100, 7819.47
1989, 200, 14791.1
2872, 300, 22238.1
3869, 400, 28392.4
4741, 500, 35899.3
5617, 600, 42270.1
6836, 700, 47045.2
7763, 800, 53054.3
8727, 900, 57988.8
9860, 1000, 64456.8
10804, 1100, 68642.6
11902, 1200, 77166.8
12942, 1300, 85739
13862, 1400, 89331
14883, 1500, 94236.2
16018, 1600, 99657.5
17030, 1700, 104233
17857, 1800, 108718
18824, 1900, 112536
19645, 2000, 115608
20746, 2100, 121851
21866, 2200, 127650
23087, 2300, 131320
23942, 2400, 134559
24926, 2500, 139018
25887, 2600, 144183
26783, 2700, 149852
27965, 2800, 154677
28945, 2900, 159113
29956, 3000, 163290
30963, 3100, 167259
32081, 3200, 170531
33122, 3300, 173415
34250, 3400, 176632
35382, 3500, 179662
36353, 3600, 183801
37339, 3700, 186191
38490, 3800, 190626
39517, 3900, 193272
40519, 4000, 197921
41340, 4100, 200340
42182, 4200, 203057
43244, 4300, 205092
44298, 4400, 208381
45281, 4500, 211378
46413, 4600, 215719
47397, 4700, 218638
48453, 4800, 221132
49593, 4900, 223758
50636, 5000, 228161
51543, 5100, 231592
52743, 5200, 234592
53880, 5300, 236790
55041, 5400, 238385
56184, 5500, 240678
57185, 5600, 244150
58189, 5700, 246542
59383, 5800, 249677
60203, 5900, 251551
61189, 6000, 257280
62222, 6100, 259314
63292, 6200, 261086
64294, 6300, 263401
65433, 6400, 265546
66290, 6500, 269014
67482, 6600, 271583
68517, 6700, 273680
69415, 6800, 275434
70586, 6900, 278047
71542, 7000, 280230
72507, 7100, 282696
73549, 7200, 286095
74719, 7300, 288983
75677, 7400, 291081
76915, 7500, 301160
78023, 7600, 303102
78988, 7700, 304367
80089, 7800, 306067
81088, 7900, 307534
82117, 8000, 309654
83287, 8100, 312728
84349, 8200, 316198
85420, 8300, 318776
86501, 8400, 322592
87655, 8500, 324443
88943, 8600, 326412
90126, 8700, 330316
91481, 8800, 331781
92806, 8900, 335759
94095, 9000, 337491
95359, 9100, 339263
96502, 9200, 341016
97819, 9300, 344087
99010, 9400, 346270
100540, 9500, 348422
101831, 9600, 350029
103165, 9700, 352743
104578, 9800, 354987
105665, 9900, 356418
107244, 10000, 358583
113489, 10000, 358585
